"hello","నమస్కారం","नमस्ते"
"attempt","ప్రయత్నం","प्रयास"
"attend","హాజరగు","उपस्थित होना"
"attendance, appearance","హాజరు","उपस्थिति*"
"attention","శ్రద్ధ","ध्यान"
"attest","ధృవీకరించు","प्रमाणितकरना"
"attitude","వైఖరి","दृष्टिकोण"
"attorney","న్యాయసలహాదారు","महान्यायवादी"
"attract","ఆకర్షించు","आकर्षित करना"
"attraction","ఆకర్షణ","आकर्षण"
"attractive","ఆకర్షణీయ","आकर्षक, चुंबलीय"
"attribute","గుణం","विशेषता*"
"auction","వేలం","नीलामी*"
"auctioneer","వేలం వేసేవాడు","नीलामकर्ता"
"audible","వినగల","श्रव्य"
"audience","శ్రోతలు","दर्शक"
"audio","ధ్వని","श्रव्य"
"audit","లెక్కలు తనిఖీ చేయు","लेखापरीक्षा*"
"aunt","అత్త పిన్ని","चाची"
"auspicious","శుభప్రదమైన","शुभ"
"authentic","నిజమైన","प्रामाणिक"
"authentication","ప్రమాణీకరణ","प्रमाणीकरण"
"author writer","రచయిత","लेखक"
"authority","అధికారం","अधिकार"
"authorize","అధికారమిచ్చు","अधिकृत"
"autobiography","స్వీయచరిత్ర","आत्मकथा*"
"automatic","స్వయంచాలక","स्वचालित, स्वतः"
"automobile","స్వయంచాలక వాహనం","स्वचालितवाहन"
"autonomous","స్వయంప్రతిపత్తి గల","स्वायत्त"
"autonomy","స్వయం ప్రతిపత్తి","स्वायत्तता*"
"Autumn","ఆకురాలుకాలం","शरदऋतु"
"auxiliary","సహయక","सहायक"
"auxiliary verb","సహాయకక్రియ","सहायकक्रिया*"
"avail","ఉపయోగించు","उपयोगकरना"
"average","సరాసరి సగటు","औसत"
"aversion","అయిష్టత","घृणा*"
"avoid","తప్పించుకొను","बचना"
"await","ఎదురుచూచు","इंतजारकरना"
"awake","మేల్కొలుపు","जगाना"
"award","బహూకరించు","पुरस्कारदेना"
"aware","తెలిసిన","जागरूक"
"awareness","అప్రమత్తజ్ఞానం","जागरूकता*"
"awful","భయంకర","भयंकर"
"awhile","కొంచెం సేపు","थोड़ीदेर"
"axe","గొడ్డలి","कुल्हाड़ी*"
"axle","ఇరుసు","धुरी*"
"baby","పాప","बच्चा"
"baby food","శిశు ఆహారం","शिशुआहार"
"baby wear","బిడ్డలదుస్తులు","बच्चेंकेवस्त्र"
"babyhood","శిశు దశ","शैशव"
"babyish","బాలల వంటి","बालोचित"
"bacilli","కర్ర ఆకార సూక్ష్మజీవి","दंडाणु"
"bacillus","దండాకారసూక్ష్మజీవులు","दण्डाणु"
"back","వీపు","पीठ*"
"back biting","వెన్నుపోటు","पीछेसेमारना"
"backbone","వెన్నెముక","रीढ़*"
"backdoor","దొడ్డి దారి","गुप्तद्वार"
"background","నేపథ్యం","पृष्ठभूमि*"
"backside","వెనకవైపు","पीछेकी तरफ*"
"backup","అవసరానికి నిల్వ","बैकअप"
"backward","వెనక్కు","पीछे"
"backwardness","వెనకబాటు","पिछड़ापन"
"backyard","పెరడు","पिछवाड़ा"
"bacteria","సూక్ష్మ జీవులు","जीवाणु"
"bactericide","సూక్ష్మజీవనాశని","जीवाणुनाशक"
"bacteriology","జీవాణువిజ్ఞానం","जीवाणुविज्ञान"
"badge","గుర్తు పట్టీ","बिल्ला"
"badly","చెడ్డగా","बुरीतरह"
"bag","సంచి","थैला"
"baggage","సామాను","सामान"
"baggy","వదులుగాఉన్న","ढीलाढाला"
"bail","జామీను","जमानत*"
"bait","ఎరబెట్టు","चारा"
"bake","రొట్టెలు కాల్చు","रोटीसेंकना"
"baker","రొట్టెలు కాల్చువాడు","बेकर"
"bakery","రొట్టెలు చేయు చోటు","बेकरी*"
"balance","సమతుల్యం","संतुलन"
"balanced","సంతులిత","संतुलित"
"bald","బోడి","गंजा"
"ball","బంతి","गेंद*"
"balloon","బూర","गुब्बारा"
"ballot","ఓట్లు వేయు","मतदानकरना"
"balm","పూత మందు","मलहम"
"bamboo","వెదురు","बांस"
"ban","నిషేధించు","प्रतिबंध लगाना"
"banana","అరటి పండు","केला"
"band","పట్టీ","बैंड"
"bandage","కట్టు","पट्टी*"
"bang","బాదు","धमाका"
"bangle","గాజు","चूड़ी*"
"banish","బహిష్కరించు","निर्वासितकरना"
"bank","బ్యాంకు","बैंक"
"banker","బ్యాంకు అధికారి","बैंकर"
"banking","బ్యాంకింగ్","बैंकिंग"
"bankrupt","దివాలా తీయు","दिवालानिकलना"
"banner","ప్రదర్శన గుడ్డ","बैनर"
"bar","న్యాయవాదులసంఘం","बार, न्यायवादि यें का संघ"
"barber","క్షురకుడు","नाई"
"bare naked","దిగంబరమైన","नग्न"
"barefoot","చెప్పులు లేని కాళ్ళు","नंगेपाँव"
"barely","కేవలం","मुश्किलसे"
"bargain","బేరం","सौदा"
"bark","మొరుగు","भौंकना"
"barn","గాదె","गोठार"
"barrel","పీపా","पीपा"
"barrier","అవరోధం","अवरोध"
"based","ఆధార పడిన","आधारित"
"baseless","నిరాధారమైన","निराधार"
"basement","పునాది","नींव*"
"basic","మూల, మౌలిక","बुनियादी"
"basically","మౌలికంగా","मूलरूपसे"
"basil","తులసి","तुलसी*"
"basin","పరీవాహక ప్రాంతం","बेसिन"
"basket","బుట్ట","टोकरी*"
"bat","గబ్బిలం, ఆట కర్ర","चनगीदड़"
"bath","స్నానం","स्नान"
"bathroom","స్నానాల గది","स्नानघर"
"battery","బ్యాటరీ","बैटरी*"
"battle ground","యుద్ధ రంగం","युद्दक्षेत्र"
"battle war","యుద్ధం","लड़ाई*युद्ध"
"battlefield","యుద్దభూమి","रणभूमि*"
"battleship","యుద్ధనౌక","युद्धपोत"
"Be, will","ఉంటుంది","होना"
"bead","పూస","मनका"
"beading","పూసలు కూర్చటం","मनकेडालना"
"beak","పక్షిముక్కు","चोंच*"
"beam","కిరణం","किरण*"
"bean","చిక్కుడుకాయ","सेम"
"bear","భరించు","सहन करना"
"bearable","భరించదగిన","सहनेयोग्य"
"beard","గడ్డం","दाढ़ी*"
"bearer","వాహకుడు","वाहक"
"beast","వన్యమృగం","जंगलीजानवर"
"because","ఎందుకంటే","क्योंकि"
"bed","పడక పరుపు","बिस्तर"
"bedding","పరుపు","बिस्तर"
"bedroom","పడక గది","शयनकक्ष"
"bedspread","దుప్పటి","पलंगपोश"
"bedtime","నిద్రవేళ","सोनेकासमय"
"Beef, steak","పశు మాంసం","गोमांस"
"beer","బీరు మద్యం","बियर"
"bees wax","తేనె మైనం","मधुमोम"
"beetroot","బీటు దుంప","चुकंदर"
"before","ముందు","पहले"
"beg","వేడుకొను","विनती*करना"
"beggar","బిచ్చగాడు","भिखारी"
"begin, commence","ప్రారంభించు","शुरू करना"
"beginner","ప్రారంభస్ధాయి వ్యక్తి","नौसिखिया*"
"beginning","ప్రారంభం","शुरुआत*"
"behalf","తరపున","कीओरसे"
"behave","ప్రవర్తించు","व्यवहार करना"
"behind","వెనక","पीछे"
"behold","తెలుసుకొను","दृष्टि*द्वाराजानना"
"being","ఉనికి","अस्तित्व"
"belch","తేపు, తేనుపు","डकार लेना*"
"belief","నమ్మకం","विश्वास"
"believe","నమ్ము","मानना"
"believer","నమ్మినవాడు, విశ్వాసి","विश्वासी"
"bell","గంట","घंटी*"
"belligerent nation","యుద్ధంకోరు దేశం","युद्धाकांक्षीदेश"
"belly","పొట్ట","पेट"
"belonging","చెందిన","संबंधित"
"below","క్రింద","नीचे"
"belt","నడి కట్టు","कटीबंध"
"bench","బల్ల","बेंच*"
"bend","వంగు","मुड़ना"
"beneficiary","లబ్ధిదారు","लाभार्थी"
"benefit","లాభం","लाभ"
"berth","పదవి","पद"
"beside","పక్కన","बगल*में"
"besides","ఇదికాకుండా","इसकेअतिरिक्त"
"best","ఉత్తమ","सबसेअच्छा"
"bestow","ఇచ్చు","प्रदानकरना"
"bet","పందెం","शर्त*"
"betel leaf","తమలపాకు","पान"
"betel nut","వక్క","सुपारी*"
"betrothed","నిశ్చితార్థం జరిగిన","मंगेतर"
"better, superior","బాగామెరుగైన","बेहतर"
"betterment","వాసిపెంచటం","समुन्नति*"
"betting","పందెములు కట్టడం","बाजी*लगाना"
"beware","జాగ్రత్తపడు","सचेतरहना"
"beyond","మించి","परे"
"bias partiality","పక్షపాతం","पक्षपात"
"bible","బైబిలు పరిశుద్ధ గ్రంధం","बाइबिल*"
"bicameral","ద్విసభా","द्विसदनी"
"bickering","కలహం","कलह"
"bicycle","సైకిల్","साइकिल*"
"bid","పేలం పాటపాడు","बोली*लगाना"
"bidder","పందెం కాసినవాడు","बोलीदाता"
"big","పెద్ద","बड़ा"
"Big, large","పెద్ద","बड़ा"
"bike","ద్విచక్ర వాహనం","दुपहिया"
"bile","పైత్యరసం","पित्त"
"bill","బిల్లు","बिल"
"bill of exchange","వినిమయపత్రం","विनिमयबिल"
"bill of indemnity","నష్టపూర్తి బిల్","क्षतिपूर्तिबिल*"
"bill of lading","సరుకుఎక్కింపు బిల్లు","लदानपत्र"
"billion","బిలియన్(100 కోట్లు)","बिलियन"
"bin","గాదె, డబ్బా","बिनधानी*"
"bind","కలిపి కట్టు","बांधना"
"binding","కలిపి కట్టటం","जिल्द*बनाना"
"biography","జీవిత చరిత్ర","जीवनी*"
"biological","జీవసంబంధ","जैविक"
"biology","జీవశాస్త్రం","जीवविज्ञान"
"bird","పక్షి","पक्षी"
"bird quail","పిట్ట","चिड़िया*"
"birth","పుట్టుక","जन्म"
"birthday","పుట్టిన రోజు","जन्मदिन"
"biscuit","బిస్కట్","एकबिस्कुट"
"bishop","మతగురువు","धर्माध्यक्ष"
"bit","చిన్న ముక్క","टुकड़ा"
"bitch","ఆడకుక్క","कुतिया*"
"bite","కొరుకు","काटना"
"bitter","చేదుగా","कड़वा"
"bitterness","చేదు, తీవ్రం","कड़वाहट*"
"black","నలుపు","काला"
"black list","అర్హతలేనివారి జాబితా","कालीसूची*"
"black magic","చేతబడి","कालाजादू"
"black money","నల్లడబ్బు","कालाधन"
"blackboard","నల్లబల్ల","ब्लैकबोर्ड, श्यामपट"
"blackmail","బెదిరించి వసూలుచేయు","दबावसे ऐंठना"
"blacksmith","కమ్మరి","लोहार"
"bladder","మూత్రపు తిత్తి","मूत्राशय"
"blade","సన్న కత్తి","ब्लेड"
"blame","నింద, అభిశంసన","दोषारोपण*"
"blame, censure","అభిశంసన","दोषारोपण"
"blank","ఖాళీ","रिक्त"
"blanket","దుప్పటి గొంగళి","कंबल"
"blast explosion","పేలుడు","विस्फोट"
"bleach","తెల్లగా చేయు","सफेद करना"
"bleed","రక్తస్రావం","खूनबहना"
"blemish","కళంకం","धब्बा"
"blend","కలుపు","मिश्रण करना"
"bless","అనుగ్రహించు","आशीर्वाददेना"
"blessed","ఆశీర్వదించబడిన","धन्य"
"blessing","దీవెన","आशीर्वाद"
"blind","చూపులేని, అంధ","अंधा"
"blink","రెప్పపాటు","झपक*"
"bliss","పరమానందం","परमआनंद"
"blister","పొక్కు","छाला"
"bloat","ఉబ్బు","फूलना"
"blockade","ఆటంకం","नाकाबंदी*"
"blood clot","రక్తం గడ్డకట్టు","धक्काहोजाना"
"bloodshed","రక్తపాతం","रक्तपात"
"bloody","నెత్తురోడుతున్న","रक्तरंजित"
"bloom","వికసించు, వర్ధిల్లు","बड़ना"
"blouse","జాకెట్టు","ब्लाउज"
"blow","వీచు","हवा*काचलना"
"blue","నీలం","नीला"
"blunder","పెద్ద తప్పు","गलती"
"blunt","మొద్దుబారిన","कुंद"
"blur","కళంకం","कलंक"
"board","బల్ల","बोर्ड"
"boat","పడవ","नाव*"
"body","శరీరం","शरीर"
"body language","శరీరభాష","शरीरकीभाषा*"
"body parts","శరీర భాగాలు","शरीरकेअंग"
"bogus","బూటకపు","झूछा"
"boil","కాగబెట్టు","उबालना"
"boiler","వేడిచేయునది","पतीली*"
"bold","ధైర్యం/సాహసంగల","साहसी"
"bomb","బాంబు","बम"
"bombing","బాంబు వేయటం","बमबारी*"
"bona fide","అధికారిక","वास्तविक"
"bond","బంధం, పత్రం","बंधपत्र"
"bone","ఎముక","हड्डी*"
"bonus","ఉపరి బహుమానం","बोनस"
"book","పుస్తకం","किताब*"
"booking office","టికెట్లు ఇచ్చుచోటు","बुकिंगकार्यालय"
"booklet","చిన్న పుస్తకం","पुस्तिका*"
"bookseller","పుస్తక విక్రేత","पुस्तकविक्रेता"
"boom","అభివృద్ధిచెందు","तेजी*"
"boon","వరం","वरदान"
"boost","ముందుకు నెట్టుట","बढ़ावादेना"
"boot","పాదరక్ష","बूट"
"booth","తాత్కాలిక గృహం","बूथ"
"bored","విసుగు చెందిన","ऊबाहुआ"
"boring","గొట్టపుబావి","नलकूप"
"born","పుట్టిన","पेदाजात"
"borrow","అప్పుతీసుకొను","उधार लेना"
"borrowing","అప్పు తీసుకోవటం","उधारलेना"
"boss","పై అధికారి","मालिक"
"botany","వృక్ష శాస్త్రం","वनस्पतिविज्ञान"
"both","ఇద్దరు","दोनों"
"bother","కోపం తెప్పించు","घुस्सादिलाना"
"bottle","సీసా","बोतल*"
"bottle gourd","సొరకాయ","लौकी*"
"bottom","దిగువన","तल"
"bounce","చివుక్కున పైకి లేచు","उछालना"
"boundary border","సరిహద్దు","सरीसृप*"
"bouquet","పుష్పగుచ్చం","गुलदस्ता"
"bow","విల్లు, విల్లంబు","धनुष"
"bowel","పేగు, ఆంత్రము","आंत्*"
"bowl","గిన్నె","कटोरा"
"bowling","బంతి విసురుట","गेंदबाजी*"
"box","పెట్టె","पेटि*"
"boxing","ముష్టి యుద్ధం","बॉक्सिंग"
"boy","బాలుడు","लड़का"
"boycott","నిషేధం","बहिष्कार"
"boyfriend lover","ప్రియుడు","प्रेमी"
"boyhood","బాల్యం","लड़कपन"
"bracelet","మణికట్టు గొలుసు","कंगन"
"brain","మెదడు","मस्तिष्क"
"brake","వేగనిరోధము","ब्रेक"
"bran","తవుడు","चोकर"
"branch","శాఖ, కొమ్మ","शाखा*"
"brass","ఇత్తడి","पीतल"
"brassiere","ఛాతీ దుస్తు","बाडीचोली*"
"brave","ధైర్యం గల","बहादुर"
"breach, violation","ఉల్లంఘన","उल्लंघन"
"bread","రొట్టె","रोटी*"
"breadth width","వెడల్పు","चौड़ाई*"
"break","పగులు, పగల గొట్టు","तोड़ना"
"breakage","పగిలిపోయినవి","टूटफूट*"
"breakfast","ఉదయపు ఆహారం","नाश्ता"
"breast","స్తనము","स्तन"
"breast milk","చనుపాలు","स्तनदूध"
"breath","శ్వాస","सांस*"
"breathe","పీల్చు, శ్వాసించు","साँस*लेना"
"breathing","ఊపిరి పీల్చుట","साँस*लेना"
"breech","పిరుదులు","नितंब"
"breed","జాతి","नस्ल*"
"breeze","చల్లటి గాలి","बयार*"
"brevity","సంక్షిప్తం","संक्षिप्तता*"
"brick","ఇటుక","ईंट*"
"bridal","వివాహ/వధువు సం","दुल्हन*"
"bride","వధువు","दुल्हन*"
"bridegroom","వరుడు","दूल्हा"
"bridge","వంతెన","पुल"
"bridle","కళ్లెం వేయు","लगाम*लगाना"
"briefly","క్లుప్తంగా","संक्षिप्तरूपसे"
"bright, radiant","ప్రకాశించెడు","उज्ज्वल"
"brilliant","చాలా కాంతిగల","देदीप्यमान"
"bring","తెచ్చు","लाना"
"brinjal","వంకాయ","बैंगन"
"brisk","చురుకైన","तेज"
"British","బ్రిటిష్","ब्रिटिश"
"broad","విశాలమైన","विस्तृत"
"broadcast, transmission","ప్రసారం","प्रसारण"
"brochure","కరపత్రం","विवरणिका*"
"broil","అరుపులతో తగాదా","विवाद"
"broken","విరిగిపోయిన","टूटाहुआ"
"broker","దళారి","दलाल"
"bronze","కంచు, కాంస్యం","कांसा"
"broom","చీపురు","झाड़ू"
"brother","సోదరుడు","भाई"
"brother-in-law","బావ, బావమరది","बहनोई"
"brown","గోధుమ","भूरा"
"browse","విహరించు","ब्राउज़ करना"
"brush","కుంచె","ब्रश"
"brutal","క్రూరమైన","क्रूर"
"bubble","బుడగ","बुलबुला"
"buck","మగ జింక","stagहिरन"
"bucket","బొక్కెన","बाल्टी*"
"buckle","కొక్కెం","बकसुआ"
"bud","మొగ్గ","कली*"
"buddy friend","స్నేహితుడు","दोस्त"
"budget","ఆదాయవ్యయ అంచనా","बजट"
"buffalo","గేదె","भैंस*"
"buffoon clown zany","విదూషకుడు","विदूषक"
"bug","నల్లి","खटमल"
"build, construct","నిర్మించు","निर्माण करना"
"builder","నిర్మించువాడు","निर्माता"
"building","భవనం","इमारत*"
"bulb","దుంప","कंदा"
"bulk","ఎక్కువ పరిమాణం","थोक"
"bull ox","ఎద్దు","बैल"
"bullet","తుపాకి గుండు","गोली*"
"bullock","కోడెదూడ","बैल"
"bumper, great, noble","గొప్ప","महान"
"bun","రొట్టె","बन"
"bunch","గుత్తి","गुच्छा"
"burden","భారం","बोझ"
"bureau","వ్యాపార కార్యాలయం","ब्यूरो"
"burn","కాల్చు","जलाना"
"burning","కాల్చటం","जलाना"
"burst","పేలిపోవు, పేలు","फटना"
"bury","పూడ్చు","दफनाना"
"bus","ప్రయాణ వాహనం","बस*"
"bush","పొద","अंडेसेना*"
"business trade","వ్యాపారం","व्यापार"
"Businessman, merchant","వ్యాపారస్థుడు, వ్యాపారి","व्यापारी"
"busy","తీరిక లేని","व्यस्त"
"but","కాని","लेकिन"
"butcher","కసాయివాడు","कसाई"
"butt","తుపాకి మడమ","बटकुंदा"
"butter","వెన్న","मक्खन"
"butterfly","సీతాకోకచిలుక","तितली"
"buttock","పిరుదు, పిర్ర","कूल्हा"
"button","గుండీ","बटन"
"buy","కొనుగోలు","खरीदना"
"buyer, purchaser","కొనుగోలుదారు","खरीददार"
"by air","వాయుయానంలో","वायुयानसे"
"by bus","బస్సు ద్వారా","बससे"
"by train","రైలు ద్వారా","ट्रेनसे"
"bye election","ఉప ఎన్నిక","उपचुनाव"
"bye law","నిబంధన","उपविधि*"
"cab","బాడుగకారు, బాడుగ వాహనం, కారు","टैक्सी*"
"cabinet","మంత్రివర్గం","मंत्रिमंडल"
"cafe","కాఫీ దుకాణం","कैफ़े"
"cage","పంజరం","पिंजरा"
"cake","తీపి రొట్టె","केक"
"calamity","ఉపద్రవము","विपत्ति*"
"calculate","గణించు","गणन करना*"
"calculation","లెక్కింపు","गणना*"
"calculator","గణనయంత్రం","गणक"
"calendar","దినవార సూచిక","कौलॆंडर"
"calf","పిక్క","पिंडली*"
"call","పిలుచు","बुलाना"
"calling","పిలుపు","बुलावा"
"calm cool","ఉధృతి లేని","शांत"
"calmed","నెమ్మదించిన","शांत"
"calorie","కెలొరీ ఉష్ణ ప్రమాణం","कैलोरी*"
"calory","కెలొరీ ఉష్ణ ప్రమాణం","उष्णप्रमाण"
"camel","ఒంటె","ऊंट"
"camera","కెమెరా","कैमरा"
"camp","శిబిరం","शिविर"
"campaign","ప్రచారం","अभियान"
"camphor","కర్పూరము","कपूर"
"campus","ప్రాంగణం","कैंपस, premises"
"can","చెయ్యవచ్చు","करसकना"
"Canadian","కెనడా దేశస్థుడు","कैनेडियन"
"canal","కాలువ","नहर*"
"cancel","రద్దు చేయు","रद्द करना"
"cancer","క్యాన్సర్, పుట్టకురుపు","कैंसर"
"candidate","అభ్యర్థి","उम्मीदवार"
"candle","కొవ్వొత్తి","मोमबत्ती*"
"candy","మిఠాయి","मिठाई*"
"cane","బెత్తం","बेंत"
"canteen","అల్పాహారశాల","केंटीन"
"cantonment","సైనిక ప్రదేశం","छावनी*"
"canvas","గుడారాల గుడ్డ","कैनवास"
"cap hat","టోపీ","टोपी*"
"capability, ability, capacity, efficiency","సామర్థ్యం","दक्षता*"
"goodbye","adios",""
